inchikey,smiles,pchembl,chembl_id
AACGEOQWBRCPAI-FOGBGCKRSA-N,Cc1cc2oc(CN3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)NC4c5ccccc5C[C@H]4O)[C@H](C(=O)NC(C)(C)C)C3)cc2cn1,9.72,CHEMBL325013
AAEYXRMGOOTETM-WJQBNGMASA-N,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(C)=O)S(=O)(=O)c1ccc(OC)cc1,10.34,CHEMBL515772
AAGQNDDFCSYHQM-DDOVKQMLSA-N,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1)OCc1ccccn1,10.4,CHEMBL325527
AALDFNHARUKGFO-NSVAZKTRSA-N,Cc1cccc(C)c1CNC(=O)[C@@H]1CSCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(O)c1C,8.32,CHEMBL443790
AAROLUGLGDXGEZ-CFILSVQKSA-N,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)N1CCC([C@H](C)NC(=O)[C@H](C)N)=C[C@@H](Cc2ccccc2)C1)C(C)C)C(C)C,,CHEMBL506279
AAROLUGLGDXGEZ-MUOUBGKBSA-N,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)N1CCC([C@H](C)NC(=O)[C@H](C)N)=CC(Cc2ccccc2)C1)C(C)C)C(C)C,6.37,CHEMBL2115172
AAUAREZKHOFUNR-XHYJQIQKSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@@H]2Cc3ccc(cc3)OC/C=C/CCc3c(O)cccc3C(=O)N2)cc1,9.7,CHEMBL5316194
AAYIGYNCAMMVQJ-ZNZIZOMTSA-N,CC(C)CCNC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,6.33,CHEMBL428686
ABBRLYJQHPMTBN-AUOBUJMJSA-N,CC(C)[C@H](NC(=O)Cc1csc(N)n1)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)Cc1csc(N)n1)C(C)C,9.0,CHEMBL329239
ABEPSBWODXCWNX-VATRQPNGSA-N,CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1cccc2cccnc12,6.53,CHEMBL46967
ABFIJBVNJFZWBJ-VSQJRRPMSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)CSCC1CCN2CCC(CO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)N=C2N1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC)[C@@H](C)OCc1ccccc1,5.3,CHEMBL2068515
ABFMQEXOLPYCOH-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,8.35,CHEMBL168839
ABIINSUCXHLJLC-TWTDXSNUSA-N,CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,8.94,CHEMBL311979
ABWJLPUEOQEFRZ-DIKLSXIISA-N,COC(=O)N[C@H](C(=O)NN(Cc1ccc(C#Cc2ccccn2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,8.05,CHEMBL436952
ABXIIBYAOXNHGF-UKANDLAXSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCCCCCCCC(=O)N[C@H](CO)C(=O)N[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)[C@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)O,4.89,CHEMBL1790831
ABXKNNGMEKVIBB-UHFFFAOYSA-N,Cc1ccc(C(C)(C)C)c(SC2=C(O)OC(CCc3ccccc3)(C(C)C)CC2=O)c1,8.96,CHEMBL372040
ABYNAPWQSHRICU-UHFFFAOYSA-N,CC(C)(C)NC(=O)c1ccccc1SCC(O)Cc1ccccc1C(=O)N(CCO)C(C)(C)C,4.47,CHEMBL94473
ACBDUOJWJJGQFI-HZFUHODCSA-N,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)OCc1ccccc1)NC(N)=O,7.29,CHEMBL268605
ACDGIJFDLYOONA-IVIIFCHOSA-N,Cc1ccccc1C[C@H](NC(=O)c1ccc(C)c(O)c1C)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C,7.3,CHEMBL324285
ACDSTTDXRYHRGH-IROHOENBSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(CCCO)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.0,CHEMBL44489
ACHQUDJPGNODSX-MMKMBUSTSA-N,Cc1nn(C)c2ncc(CN3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)NC4c5ccccc5C[C@H]4O)[C@H](C(=O)NC(C)(C)C)C3)c(Cl)c12,9.85,CHEMBL326336
ACIVSSKFPCODPQ-VIJSPRBVSA-N,O=C1N(CC2CCC2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CCC1,8.89,CHEMBL287355
ACLGFPBLVWSDHZ-KZMCYEEOSA-N,CCC(C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C)C(=O)NCc1ccccn1,8.05,CHEMBL167514
ACMUDLDSUPPVGF-AZGAKELHSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(O)cc1O)S(=O)(=O)c1ccc(F)cc1,9.2,CHEMBL5184578
ACUNRNHXDMKZIB-LQLHWDHISA-N,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1cccnc1)C(C)C,9.0,CHEMBL324596
ACUNRNHXDMKZIB-XAYNKGEHSA-N,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1cccnc1)C(C)C,9.0,CHEMBL322941
ACUNRNHXDMKZIB-YAQJXRFXSA-N,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1cccnc1)C(C)C,9.0,CHEMBL323595
ACUPOAMDZYDNCK-JYBCPWHASA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@]12CCO[C@H]1OCC2,6.698970004336019,CHEMBL326258
ADEDXTOYVWWVDV-URLMMPGGSA-N,COc1ccc(CC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)cc1,7.68,CHEMBL5412527
ADFMHXPVMGVOGF-DDLQZHSQSA-N,Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]nc(-c5ccc(C(F)(F)F)cc5)c4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,9.6,CHEMBL323449
ADJAFFUBCICGDS-CPCREDONSA-N,CNc1cccc(N2C(=O)N(c3cccc(NC)c3)[C@@H](Cc3ccccc3)[C@@H](O)[C@@H]2CCc2ccccc2)c1,6.11,CHEMBL180655
ADJAFFUBCICGDS-XWHIBYANSA-N,CNc1cccc(N2C(=O)N(c3cccc(NC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1,8.31,CHEMBL181166
ADLGOPUKTLNJAY-NPCUJANDSA-N,O=C1N[C@H](Cc2ccccc2)[C@@H](O)[C@H](O)[C@]23CC[C@H](CC2)N13,4.68,CHEMBL119973
AEFWIFOEKCTWHN-SSNHPIBPSA-N,Cc1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3ccc(F)cc3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,,CHEMBL122011
AEHKWDXPWMVZCP-UHFFFAOYSA-N,Cc1ccc(COCC(OCc2ccc(C)cc2)C(O)C(O)C(COCc2ccc(C)cc2)OCc2ccc(C)cc2)cc1,5.16,CHEMBL261987
AEJMIBHXONFIJT-SZSCFNLPSA-N,COc1ccc(CN[C@@H](C(=O)N[C@H]2c3ccccc3C[C@H]2O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CCc2nc3ccccc3[nH]2)C(C)(C)C)cc1,8.03,CHEMBL292789
AEKAXOFUKMZAOP-ADIDXWPESA-N,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)C(F)(F)C(=O)N[C@@H](C(=O)OC(C)(C)C)C(C)C,8.22,CHEMBL19545
AENNKGPSWPTNCT-ACNARKAVSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1C=CC[C@H]1O,8.02,CHEMBL167022
AENNKGPSWPTNCT-CAKRBILKSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1C=CC[C@H]1O,8.02,CHEMBL444057
AENNKGPSWPTNCT-OIJLGNSKSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1C=CC[C@@H]1O,8.02,CHEMBL138336
AENNKGPSWPTNCT-RTJMFUJLSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C=CC[C@H]1O,8.02,CHEMBL421019
AEOKJTYSPBJKOJ-KFZSMJGVSA-N,CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)COc1ccc2ccccc2c1,8.89,CHEMBL334985
AEPFEKCKSRFWJD-UHFFFAOYSA-N,CC1(C)CC2(CC(C)(C)c3cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c32)c2cc(O)c([N+](=O)[O-])cc21,4.6,CHEMBL303764
AEVMGVUMZFUSEL-XTEPFMGCSA-N,COc1ccc(S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)CCc2ccc(O)c(OC)c2)C2CC2)cc1,7.49,CHEMBL4865101
AEYJPZVXCDVBGM-UHFFFAOYSA-N,CC(C)CC1(c2ccccc2)CC(=O)C(SCCc2ccccc2)=C(O)O1,5.92,CHEMBL121976
AEZZCFDDKMKSKI-UHFFFAOYSA-N,COC(=O)C(Cc1ccccc1)NC(=O)C1CC(=O)N1C(Cc1ccccc1)C(=O)NCC(C)C,,CHEMBL196978
AFADAHDIMYWAFH-UHFFFAOYSA-N,CCc1c(SC2=C(O)OC(CCc3ccccc3)(c3ccccc3)CC2=O)sc2ccccc12,7.55,CHEMBL61755
AFIFJGGSLNWYAE-WXTKOERCSA-N,COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)NC2CCc3ccccc32)cc1,5.0,CHEMBL332806
AFJXCHNRSQQDSV-ZRTHHSRSSA-N,C=CCN1C(=O)N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,8.85,CHEMBL313732
AFKQUVQSWBSNKC-UHFFFAOYSA-N,CCOC(=O)c1cccc(OCCCc2c(O)oc3ccccc3c2=O)c1,5.85,CHEMBL328732
AFMCIMPHUYMJRM-KMSCUOMXSA-N,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3ccccc3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,,CHEMBL118590
AFVXCMZTRNKQLP-OQOOGSQVSA-N,CC(C)(C)NC(=O)[C@@H]1CN(S(=O)(=O)c2cccc3cccnc23)CCN1C[C@@H](O)C[C@@H](Cc1ccncc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.82,CHEMBL433165
AGGNYZIJBXLTGB-XTEPFMGCSA-N,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](CSc1ccc2ccccc2c1)NC(=O)c1cccc(O)c1Cl,7.82,CHEMBL162065
AGGZKTQUDDBSTB-UHFFFAOYSA-N,Cc1cc(-c2cc(O)c(SCc3ccccc3)c(=O)o2)cc(C)c1O,6.6,CHEMBL14437
AGHDGSLAODJMKF-FEXJNCDCSA-N,CC(C)[C@H](NC(=O)/C=C/c1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)/C=C/c1ccccn1)C(C)C,9.0,CHEMBL113451
AGHVKOYOAZXYOP-UHFFFAOYSA-N,CCC(C1=C(O)OC2(CCCCC2)CC1=O)c1ccccc1,6.11,CHEMBL143401
AGIZTRWBPPVJAN-RFLFVGJXSA-N,CC(C)CCCC(C)C1CCC2C3CC=C4CC(OC(=O)Nc5cc(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(O)c56)CC[C@]4(C)C3CC[C@]12C,7.22,CHEMBL312014
AGTAFMHGZWVOJS-OWIVKRMQSA-N,CCCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)CCCCOc2ccc(cc2)C[C@@H]([C@H](O)CN(CCC(C)C)S(=O)(=O)c2ccc(NC(C)=O)cc2)NC1=O,7.92,CHEMBL127462
AGUKARWMWVIAHL-WKAQUBQDSA-N,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCN,9.34,CHEMBL97253
AGVUPKAJANWBHS-WIOPSUGQSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(O)c(O)c(O)c1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,9.14,CHEMBL5200806
AHAVBKNGKPWROK-ZDQTVZPGSA-N,O=C(NC1c2ccccc2C[C@H]1O)[C@@H](C[C@@H](O)[C@@H](OCc1ccccc1)C(=O)NC1c2ccccc2C[C@@H]1O)OCc1ccccc1,8.85,CHEMBL356895
AHHDYIQPAPRLRB-JYFHCDHNSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2coc3cc(O)c(O)cc23)cn1,5.87,CHEMBL5402197
