inchikey,smiles,pchembl,chembl_id,selfies
AACGEOQWBRCPAI-FOGBGCKRSA-N,Cc1cc2oc(CN3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)NC4c5ccccc5C[C@H]4O)[C@H](C(=O)NC(C)(C)C)C3)cc2cn1,9.72,CHEMBL325013,[C][C][=C][C][O][C][Branch2][=Branch1][C][C][N][C][C][N][Branch2][Ring2][=Branch1][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][Ring2][Ring2][=Branch1][=C][C][=Ring2][Ring2][N][C][=N][Ring2][Ring2][S]
AAEYXRMGOOTETM-WJQBNGMASA-N,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(C)=O)S(=O)(=O)c1ccc(OC)cc1,10.34,CHEMBL515772,[C][C][C@H1][Branch1][C][C][C][N][Branch2][Ring1][P][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][Branch1][C][C][=O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2]
AAGQNDDFCSYHQM-DDOVKQMLSA-N,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1)OCc1ccccn1,10.4,CHEMBL325527,[O][=C][Branch2][Branch1][=Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C@@H1][C][C][O][C][Ring1][Branch1][O][C][C][=C][C][=C][C][=N][Ring1][=Branch1]
AALDFNHARUKGFO-NSVAZKTRSA-N,Cc1cccc(C)c1CNC(=O)[C@@H]1CSCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(O)c1C,8.32,CHEMBL443790,[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][C][N][C][=Branch1][C][=O][C@@H1][C][S][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C]
AAROLUGLGDXGEZ-CFILSVQKSA-N,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)N1CCC([C@H](C)NC(=O)[C@H](C)N)=C[C@@H](Cc2ccccc2)C1)C(C)C)C(C)C,,CHEMBL506279,[C][O][C][=Branch1][C][=O][C@@H1][Branch2][Branch1][=N][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring2][#C][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][C][C][Branch1][#C][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][=C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C]
AAROLUGLGDXGEZ-MUOUBGKBSA-N,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)N1CCC([C@H](C)NC(=O)[C@H](C)N)=CC(Cc2ccccc2)C1)C(C)C)C(C)C,6.37,CHEMBL2115172,[C][O][C][=Branch1][C][=O][C@@H1][Branch2][Branch1][=N][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring2][#C][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][C][C][Branch1][#C][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][=C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C]
AAUAREZKHOFUNR-XHYJQIQKSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@@H]2Cc3ccc(cc3)OC/C=C/CCc3c(O)cccc3C(=O)N2)cc1,9.7,CHEMBL5316194,[C][O][C][=C][C][=C][Branch2][Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C@@H1][Branch1][C][O][C@@H1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][/C][=C][/C][C][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][Branch2][C][=C][Ring2][Ring2][=Branch2]
AAYIGYNCAMMVQJ-ZNZIZOMTSA-N,CC(C)CCNC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,6.33,CHEMBL428686,[C][C][Branch1][C][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C]
ABBRLYJQHPMTBN-AUOBUJMJSA-N,CC(C)[C@H](NC(=O)Cc1csc(N)n1)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)Cc1csc(N)n1)C(C)C,9.0,CHEMBL329239,[C][C][Branch1][C][C][C@H1][Branch1][P][N][C][=Branch1][C][=O][C][C][=C][S][C][Branch1][C][N][=N][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][P][N][C][=Branch1][C][=O][C][C][=C][S][C][Branch1][C][N][=N][Ring1][=Branch1][C][Branch1][C][C][C]
ABEPSBWODXCWNX-VATRQPNGSA-N,CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1cccc2cccnc12,6.53,CHEMBL46967,[C][C][Branch1][C][C][C][C][N][Branch2][Ring2][=N][C][C@@H1][Branch1][C][O][C@@H1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][N][Ring2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][N][=C][Ring1][#Branch2][Ring1][=Branch1]
