smiles,qed,sa,molwt,clogp
CC(C)CN([SH]=O)[C@H](CO)CCCCNC(=O)CN(Cc1ccc(F)cc1)c1ccccc1,0.2719133999038898,4.1,477.6460000000001,3.298000000000003
CCC(=O)C1=C(O)OC(Cc2ccccc2)(Cc2ccccc2)CC1,0.8263415336021276,3.75,336.4310000000001,4.769700000000004
CCCC[CH]NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.3432295985673315,3.9,481.6570000000003,5.200490000000005
CNCCNC(=O)COC=CC=CC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(N)=O,0.10515114870091845,4.15,461.5630000000002,-0.9102999999999946
C=CC=C[CH]NC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)C=CC=COC,0.25862985543891626,4.05,490.64600000000013,3.1233900000000006
C#CC(=CC=CC[CH]C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cn1cccn1,0.30189255502739004,3.9,448.5870000000002,4.4802900000000045
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](C=O)Cc1ccc2ccccc2c1,0.44845057551491707,3.95,447.5750000000002,5.084400000000005
C[CH][CH]OC(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NCC,0.4084262250405776,4.3500000000000005,493.69500000000033,2.9524800000000013
CC(C)c1ccccc1SC=C(O)OC1(c2ccccc2)CCC(CC(=O)N2CCOCC2)CC1,0.3298031475381102,4.2,495.68500000000034,6.610200000000007
CC[CH]NC(=O)[C@H](CC(N)=O)NC(=O)CCCCCCCCCCCCCCC(=O)N[CH][C@@H](C)CC,0.13922467439801328,3.8,508.7480000000003,4.820080000000003
C=CC(c1ccccc1)[C@H](NC(=O)N1CCOCC1)C(=O)NCCCC[C@@H](CO)NCC(C)C,0.24469431609697267,4.1,474.64600000000024,2.2596000000000025
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[CH]CO,0.4166487074233169,4.0,455.5750000000002,3.002590000000002
O=C(NC[C@H](O)Cc1ccccc1)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[CH]OCc1ccncc1,0.2781555624590702,4.25,479.55300000000017,1.7869899999999996
CC[CH]C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@H](O)[C@H](C(=O)N[CH][C@@H](C)CC)C(C)C,0.3642165220394865,3.75,424.6260000000003,3.3739800000000013
[CH][C@@H](O)C[C@H](Cc1ccccc1)NC(=O)C(C)NC(=O)N(CC)Cc1csc(C(C)C)n1,0.48114489468962696,4.1,458.62800000000016,3.3760900000000023
CCC(C)[CH]NC(=O)[CH]NC(=O)CCCCCCCCCCCCCCC(=O)N[CH]CC(N)=O,0.16356347876556193,3.8,479.6860000000004,4.203270000000002
C=CC=CC=C[CH]NC(=O)[C@H](Cc1ccccc1)C[C@H](O)C(=O)N[CH]C(=O)NCc1ccccc1C,0.30729234239804903,4.0,487.6000000000002,3.075500000000001
O=CC=C1Oc2ccc(C(F)(F)F)cc2C=C1C=CNOC(=O)CO,0.47816086778074407,4.2,355.2680000000001,2.1178
CC=CC=CNC=CCCC(=O)NN(Cc1ccc(O)c(OC)c1)C(=O)NCCC=COC,0.15587237112745198,4.05,458.5590000000002,3.467100000000002
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CCC(=O)NCc1cccs1,0.5801408283542074,4.0,418.5590000000002,3.6414000000000026
C=CC=CC=CC[CH]N(Cc1cccc(C(=O)NO)c1)C(=O)NCCC=CC=CC(=O)O,0.12294028784790112,3.95,438.5040000000002,3.754590000000002
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.7365229547993595,3.75,280.323,4.040500000000003
CCC=CNC[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(N)=O,0.27417925177913033,4.0,466.62600000000026,2.039800000000001
CC=CC=CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)C=CC=COC,0.2895263885610111,3.95,490.66600000000017,3.5588000000000015
[CH]C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0.6075240034510159,4.050000000000001,441.61600000000004,2.58129
O=c1c2c(oc(O)c1C(C1CC1)C1CC1)C(Cc1ccccc1)CCCCCC2,0.6704949017515931,4.05,392.5390000000002,6.081900000000005
CC=CC=CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.3217630695732098,3.9,478.63300000000015,4.7332000000000045
CC(C)(C)NC(=O)[C@@H]1CN(C(=O)Oc2ccccc2)CCN1C[C@@H](O)[CH]Cc1ccccc1,0.6751843437000267,4.15,452.5750000000002,2.894190000000001
C=COCC(=O)NCCCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[CH][C@@H](C)CC,0.18113498734584493,4.25,480.5860000000004,0.10829000000000466
C=CC=CC[CH][C@H](O)[C@@H](O)[C@@H](Cc1ccccc1)N(Cc1cccc(OC)c1)C(=O)NCCC,0.3637434084857398,3.9,465.61400000000015,4.286490000000004
[CH]CN(C(=O)CCCC1CCCO1)N(Cc1ccc(O)c(OC)c1)C(=O)NCCC=COC,0.28153428543353126,4.2,461.5590000000004,3.2665900000000025
CCCC(CCc1ccccc1)CC(=O)CCC=CC=CCNS(=O)(=O)C=CC=CC#N,0.2675399633740909,3.75,454.6360000000001,5.400180000000005
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)C(F)(F)CN,0.4766880359519847,4.2,461.5090000000002,2.8280000000000003
CC(=O)CN=C[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.49504345307236225,3.9,452.59500000000025,4.392100000000004
[CH]=CN(Cc1ccccc1)C(=O)NC[C@H](O)CN(CC1CCCC1)S(=O)(=O)C=CC=COC,0.336843787509184,4.2,476.61900000000014,3.001590000000001
COC=CC=CCNCC(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)C=CC=C(C)N,0.13132328410559221,4.0,486.6790000000002,1.6037000000000023
CN[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCCSC)C(=O)N[C@H](Cc1ccc(Br)cc1)C(C)C,0.2777309732588009,4.0,536.5800000000002,3.6452000000000018
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(C)(F)F,0.5800353312511182,4.1,446.49400000000014,3.8892000000000024
[CH]C[CH]C=CC=CCOCCC(O)C(O)C(COCCC=CC=CC(=O)O)OCc1ccccc1,0.1468422031633315,3.85,485.5970000000002,3.721880000000003
CNC=CCCNCCNC[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0.2004937505109751,4.3500000000000005,497.6400000000002,0.9045000000000017
C=CC(c1ccccc1)[C@H](NC(=O)c1ccccc1)C(=O)NCCCC[C@@H](CO)NCC(C)C,0.23875062243037148,3.9,465.6380000000001,3.647800000000003
CC(C)CN(S)[C@H](CO)CCCCNC(=O)N(Cc1ccccc1)Cc1ccc2ccccc2c1,0.2056835820116193,4.050000000000001,493.7170000000001,5.885600000000006
C=CS(=O)(=O)Nc1cccc(C(c2c(O)oc3c(c2=O)CCCCCC3)C2CC2)c1,0.7079749627344657,4.3,429.5380000000004,4.431500000000004
[CH]C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccc(N)nc1)C(C)(C)C,0.47453815527067217,4.1,440.54400000000015,2.4942900000000003
