smiles,qed,sa,molwt,clogp,novel,scaffold
CC(C)CN([SH]=O)[C@H](CO)CCCCNC(=O)CN(Cc1ccc(F)cc1)c1ccccc1,0.2719133999038898,4.1,477.6460000000001,3.298000000000003,True,c1ccc(CNc2ccccc2)cc1
CCC(=O)C1=C(O)OC(Cc2ccccc2)(Cc2ccccc2)CC1,0.8263415336021276,3.75,336.4310000000001,4.769700000000004,True,C1=COC(Cc2ccccc2)(Cc2ccccc2)CC1
CCCC[CH]NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.3432295985673315,3.9,481.6570000000003,5.200490000000005,True,c1ccc(CCCCCCc2ccccc2)cc1
CNCCNC(=O)COC=CC=CC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(N)=O,0.1051511487009184,4.15,461.5630000000002,-0.9102999999999946,True,c1ccccc1
C=CC=C[CH]NC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)C=CC=COC,0.2586298554389162,4.05,490.6460000000001,3.123390000000001,True,c1ccccc1
C#CC(=CC=CC[CH]C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cn1cccn1,0.30189255502739,3.9,448.5870000000002,4.4802900000000045,True,[CH](CC=CC=CCn1cccn1)CCCCc1ccccc1
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](C=O)Cc1ccc2ccccc2c1,0.448450575514917,3.95,447.5750000000002,5.084400000000005,True,c1ccc(CCCCCCc2ccc3ccccc3c2)cc1
C[CH][CH]OC(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NCC,0.4084262250405776,4.3500000000000005,493.69500000000033,2.9524800000000013,True,c1ccc(SCCCCN2CC[C@@H]3SCC[C@@H]3C2)cc1
CC(C)c1ccccc1SC=C(O)OC1(c2ccccc2)CCC(CC(=O)N2CCOCC2)CC1,0.3298031475381102,4.2,495.68500000000034,6.610200000000007,True,O=C(CC1CCC(OC=CSc2ccccc2)(c2ccccc2)CC1)N1CCOCC1
CC[CH]NC(=O)[C@H](CC(N)=O)NC(=O)CCCCCCCCCCCCCCC(=O)N[CH][C@@H](C)CC,0.1392246743980132,3.8,508.7480000000003,4.820080000000003,True,
C=CC(c1ccccc1)[C@H](NC(=O)N1CCOCC1)C(=O)NCCCC[C@@H](CO)NCC(C)C,0.2446943160969726,4.1,474.6460000000002,2.2596000000000025,True,O=C(NCCc1ccccc1)N1CCOCC1
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[CH]CO,0.4166487074233169,4.0,455.5750000000002,3.002590000000002,True,c1ccc(CCCCCCc2ccccc2)cc1
O=C(NC[C@H](O)Cc1ccccc1)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[CH]OCc1ccncc1,0.2781555624590702,4.25,479.55300000000017,1.7869899999999996,True,O=C(NCCCc1ccccc1)[C@@H](CC[CH]OCc1ccncc1)OCc1ccccc1
CC[CH]C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@H](O)[C@H](C(=O)N[CH][C@@H](C)CC)C(C)C,0.3642165220394865,3.75,424.6260000000003,3.3739800000000013,True,C1CCCCC1
[CH][C@@H](O)C[C@H](Cc1ccccc1)NC(=O)C(C)NC(=O)N(CC)Cc1csc(C(C)C)n1,0.4811448946896269,4.1,458.62800000000016,3.3760900000000023,True,O=C(CNC(=O)NCc1cscn1)NCCc1ccccc1
CCC(C)[CH]NC(=O)[CH]NC(=O)CCCCCCCCCCCCCCC(=O)N[CH]CC(N)=O,0.1635634787655619,3.8,479.6860000000004,4.203270000000002,True,
C=CC=CC=C[CH]NC(=O)[C@H](Cc1ccccc1)C[C@H](O)C(=O)N[CH]C(=O)NCc1ccccc1C,0.307292342398049,4.0,487.6000000000002,3.075500000000001,True,O=C([CH]NC(=O)CCCCc1ccccc1)NCc1ccccc1
O=CC=C1Oc2ccc(C(F)(F)F)cc2C=C1C=CNOC(=O)CO,0.478160867780744,4.2,355.2680000000001,2.1178,True,C=C1C=Cc2ccccc2O1
CC=CC=CNC=CCCC(=O)NN(Cc1ccc(O)c(OC)c1)C(=O)NCCC=COC,0.1558723711274519,4.05,458.5590000000002,3.467100000000002,True,c1ccccc1
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CCC(=O)NCc1cccs1,0.5801408283542074,4.0,418.5590000000002,3.641400000000002,True,O=C(CCCCCc1ccccc1)NCc1cccs1
C=CC=CC=CC[CH]N(Cc1cccc(C(=O)NO)c1)C(=O)NCCC=CC=CC(=O)O,0.1229402878479011,3.95,438.5040000000002,3.754590000000002,True,c1ccccc1
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.7365229547993595,3.75,280.323,4.040500000000003,False,O=c1oc2ccccc2cc1Cc1ccccc1
CCC=CNC[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(N)=O,0.2741792517791303,4.0,466.62600000000026,2.039800000000001,True,c1ccc(CCCCCCc2ccccc2)cc1
CC=CC=CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)C=CC=COC,0.2895263885610111,3.95,490.66600000000017,3.558800000000001,True,c1ccccc1
[CH]C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0.6075240034510159,4.050000000000001,441.616,2.58129,True,c1ccc(CCCCN2CC[C@@H]3CCCC[C@@H]3C2)cc1
O=c1c2c(oc(O)c1C(C1CC1)C1CC1)C(Cc1ccccc1)CCCCCC2,0.6704949017515931,4.05,392.5390000000002,6.081900000000005,False,O=c1c(C(C2CC2)C2CC2)coc2c1CCCCCCC2Cc1ccccc1
CC=CC=CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.3217630695732098,3.9,478.63300000000015,4.7332000000000045,True,c1ccc(CCCCCCc2ccccc2)cc1
