tag,smiles,affinity,pose
lig_0150,O=C1CC=CC=CCCOC2=c3ccccc3=CCC2NC(=O)[C@H](Cc2cccc3ccccc23)C1,-10.923,dockrun/out/lig_0150_best.pdbqt
lig_0168,CC1(C)C=CC=CC=C(SC2=C(O)OC(c3ccccc3)(c3ccccc3)CC2=O)C1,-10.384,dockrun/out/lig_0168_best.pdbqt
lig_0184,O=C1N[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(F)c1,-10.301,dockrun/out/lig_0184_best.pdbqt
lig_0039,O=C1C=CC=CNC=Cc2ccccc2C[C@H](O)[C@H](Cc2ccccc2)N1,-10.257,dockrun/out/lig_0039_best.pdbqt
lig_0106,CC1CC(C)CN(Cc2ccccc2)C(=O)C(NC(=O)OCc2ccc(Br)cc2)C1,-10.049,dockrun/out/lig_0106_best.pdbqt
lig_0151,CC(C)c1ccccc1SC1=C(O)OC(CCC(=O)N2CCNCC2)(c2ccccc2)CC1=O,-9.932,dockrun/out/lig_0151_best.pdbqt
lig_0072,CCS(=O)(=O)Nc1cccc(C(c2c(O)oc3c(c2=O)CCCCCC3)C2CC2)c1,-9.928,dockrun/out/lig_0072_best.pdbqt
lig_0012,O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@H](O)[C@]23CC[C@H](CC2)N13,-9.905,dockrun/out/lig_0012_best.pdbqt
lig_0088,O=C1N(Cc2ccccc2)CC(O)(Cc2ccccc2)C(=O)N1Cc1ccccc1,-9.897,dockrun/out/lig_0088_best.pdbqt
lig_0135,CC=CC=C1C(C)CC1SC1=C(O)OC(c2ccccc2)(c2ccccc2)CC1=O,-9.894,dockrun/out/lig_0135_best.pdbqt
lig_0190,CNC(=O)[C@@H]1C[C@@H]2SCC[C@@H]2CN1C[C@@H](Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O,-9.884,dockrun/out/lig_0190_best.pdbqt
lig_0025,O=C1c2ccccc2C(CCc2ccccc2)CC(O)C1C1=CC=CNC1,-9.864,dockrun/out/lig_0025_best.pdbqt
lig_0125,Cc1ccccc1C=C1N=C(SCc2ccc3ccccc3c2)C(N)=C1O,-9.798,dockrun/out/lig_0125_best.pdbqt
lig_0007,O=C1CC2(CCCc3ccccc32)OC(O)=C1SCc1ccccc1,-9.758,dockrun/out/lig_0007_best.pdbqt
lig_0133,O=C1CC(c2ccccc2)(c2ccccc2)OC(O)=C1SCc1ccccc1,-9.753,dockrun/out/lig_0133_best.pdbqt
lig_0157,CC(C)(C)NC(=O)[C@@H]1CN(C(=O)c2cccnc2)CCN1C[C@@H](O)[CH]Cc1ccc(O)cc1,-9.747,dockrun/out/lig_0157_best.pdbqt
lig_0122,CN(C)CCC1NC(=O)N(C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,-9.743,dockrun/out/lig_0122_best.pdbqt
lig_0065,O=C1N[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CC1,-9.743,dockrun/out/lig_0065_best.pdbqt
lig_0197,Cc1noc(C)c1[C@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,-9.652,dockrun/out/lig_0197_best.pdbqt
lig_0104,OC1=C(C(Sc2ccccc2)c2ccccc2)O[CH]CC2(CCCC2)O1,-9.642,dockrun/out/lig_0104_best.pdbqt
lig_0179,[CH][C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccc1-c1ccccc1)C(C)(C)C,-9.642,dockrun/out/lig_0179_best.pdbqt
lig_0110,C[C@H](Cc1ccc2c(c1)OCO2)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-9.618,dockrun/out/lig_0110_best.pdbqt
lig_0185,CCN1C(=O)N(Cc2ccccc2F)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,-9.592,dockrun/out/lig_0185_best.pdbqt
lig_0049,CC(C)(C)NC(=O)C1OC(O)=C(CCc2ccccc2)C(=O)C1Cc1ccccc1,-9.542,dockrun/out/lig_0049_best.pdbqt
lig_0159,O=C(Nc1nc2ccccc2[nH]1)C(c1ccccc1)c1ccccc1,-9.537,dockrun/out/lig_0159_best.pdbqt
lig_0141,O=c1cc(-c2ccccc2)oc(O)c1C(SC1CCCC1)c1ccccc1,-9.53,dockrun/out/lig_0141_best.pdbqt
lig_0081,O=c1cc(-c2ccccc2)oc(O)c1SCc1ccc2c(c1)OCCO2,-9.48,dockrun/out/lig_0081_best.pdbqt
lig_0094,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1Cc2ccccc2C[C@H]1O,-9.473,dockrun/out/lig_0094_best.pdbqt
lig_0181,C[CH]C[C@@H]1[CH]OC[C@@H]1OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C,-9.459,dockrun/out/lig_0181_best.pdbqt
lig_0042,CS(=O)(=O)Nc1cccc(C(c2c(O)c3c(oc2=O)CCCCCC3)C2CC2)c1,-9.458,dockrun/out/lig_0042_best.pdbqt
lig_0144,[CH]C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,-9.451,dockrun/out/lig_0144_best.pdbqt
lig_0164,CCc1cccc(C=C2OC(=O)C(Sc3ccc4ccccc4c3)=C2O)c1,-9.427,dockrun/out/lig_0164_best.pdbqt
lig_0124,O=c1cc(-c2ccccc2)oc(O)c1C(CC1CCCC1)SC1CCCC1,-9.407,dockrun/out/lig_0124_best.pdbqt
lig_0200,CC(NC(=O)c1ccccc1-c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CF,-9.402,dockrun/out/lig_0200_best.pdbqt
lig_0119,C[C@@H]1CN(Cc2ccccc2)CCN1CC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,-9.379,dockrun/out/lig_0119_best.pdbqt
lig_0129,O=C1[C@H](Cc2ccccc2)C(O)=C(O)N(Cc2ccccc2)[C@H]1Cc1ccccc1,-9.378,dockrun/out/lig_0129_best.pdbqt
lig_0092,CC(C)CCC1(c2ccccc2)CC(=O)C(SCCc2ccccc2)[C@@H](O)O1,-9.374,dockrun/out/lig_0092_best.pdbqt
lig_0057,CC(O)C(C)c1cccc(C(c2c(O)oc3c(c2=O)CCCCCC3)C2CC2)c1,-9.369,dockrun/out/lig_0057_best.pdbqt
lig_0051,Cc1nc(CN2CCN(C(=O)CCc3cc4c(C)cccc4[nH]3)CC2)no1,-9.366,dockrun/out/lig_0051_best.pdbqt
lig_0161,CNC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-9.351,dockrun/out/lig_0161_best.pdbqt
lig_0064,O=C(Nc1nc2ccccc2[nH]1)C(c1ccccc1)N1CCC1=O,-9.327,dockrun/out/lig_0064_best.pdbqt
lig_0100,O=c1c2c(oc(O)c1C(C1CC1)C1CC1)C(Cc1ccccc1)CCCCCC2,-9.326,dockrun/out/lig_0100_best.pdbqt
lig_0169,CC(C)(C)NC(=O)[C@H]1CSCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,-9.317,dockrun/out/lig_0169_best.pdbqt
lig_0093,CC(C)CC(CC1CCCCC1)c1c(O)cc(-c2ccccc2)oc1=O,-9.313,dockrun/out/lig_0093_best.pdbqt
lig_0116,O=c1ccoc(O)c1Cc1cccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,-9.308,dockrun/out/lig_0116_best.pdbqt
lig_0027,CC1=C(O)C=CCC1c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1C,-9.307,dockrun/out/lig_0027_best.pdbqt
lig_0112,O=c1ccoc(O)c1[CH]c1cccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,-9.301,dockrun/out/lig_0112_best.pdbqt
lig_0105,CC(C)CN1C(=O)N(CC(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,-9.293,dockrun/out/lig_0105_best.pdbqt
lig_0021,CC=C1C=CCNC(=O)N(Cc2ccccc2)CC(O)[C@@H]1Cc1ccccc1F,-9.263,dockrun/out/lig_0021_best.pdbqt
